retrieval_method,data_lake_version,table_name,query_column,aggregation,top_k,rank,cnd_table,cnd_column,containment,src_nrows,src_ncols,cnd_nrows,cnd_ncols,join_time,matched_rows
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,0,20d3c463551bdff4ad1fa3865652547e,wordnet_company_108058098,0.7785190126751167,3109,2,72866,19,0.019849,56727.566377585055
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,1,bb07025128e44666f1f9ca30f99a94f8,wordnet_company_108058098,0.7615076717811875,3109,2,60066,3,0.014955,45740.71981320881
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,2,6aa1967be2d07436fbd61c354bf5a239,wordnet_company_108058098,0.7491661107404937,3109,2,68877,3,0.014295,51600.314209472985
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,3,3d1c4969f30b40b8cfadbd934fe73178,wordnet_company_108058098,0.7491661107404937,3109,2,60677,3,0.013742,45457.152101400934
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,4,5643654a04617eb911108494b70f9ae2,wordnet_company_108058098,0.7138092061374249,3109,2,56891,3,0.012783,40609.31954636424
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,5,84898d2456ced56d0d4f78f3b677c7e0,wordnet_company_108058098,0.7068045363575717,3109,2,56477,3,0.013617,39918.199799866576
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,6,45ec5a47d1431519a1e9b1e82016ba64,wordnet_company_108058098,0.694462975316878,3109,2,55536,3,0.011884,38567.69579719813
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,7,ed9bc18a76861e64c1b15f253d7487b6,wordnet_company_108058098,0.6927951967978653,3109,2,40956,3,0.009091,28374.12008005337
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,8,9f91e1c6847744b762d8ccad8fee5a1a,wordnet_company_108058098,0.6904603068712475,3109,2,56916,3,0.013211,39298.23882588392
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,9,54baa0794f6c436a90f6b8185313a5d7,wordnet_company_108058098,0.6894596397598399,3109,2,59884,3,0.014915,41287.60106737825
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,10,1b3ecd4c4508b0af64e7e2bddfdc600f,wordnet_company_108058098,0.6874583055370247,3109,2,55086,3,0.012776,37869.328218812545
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,11,119d423c9f63850ef2134db7c9376ae6,wordnet_company_108058098,0.6874583055370247,3109,2,55593,3,0.012687,38217.869579719816
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,12,aa541f5ea12b1e1f48ccf741a9b88136,wordnet_company_108058098,0.6871247498332221,3109,2,55949,3,0.016134,38443.94262841895
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,13,8bb7246e8047ea1b20b7c4e6543c80cf,wordnet_company_108058098,0.6804536357571714,3109,2,55507,3,0.012281,37769.939959973315
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,14,e0394dae1a5cb9e6131f9c42a24781b2,wordnet_company_108058098,0.6804536357571714,3109,2,30273,3,0.007809,20599.37291527685
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,15,7ac2c5196f29a483b5fd071912ed0d6b,wordnet_company_108058098,0.6784523015343562,3109,2,56954,3,0.015773,38640.57238158772
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,16,d3c159dc4ef6643eb1fc9c0819145e63,wordnet_company_108058098,0.6761174116077385,3109,2,32098,3,0.008212,21702.016677785192
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,17,581b13c0370d4b43cec377f525513a9b,wordnet_company_108058098,0.6711140760507005,3109,2,54793,3,0.015198,36772.353569046034
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,18,13d1bcd4d00bc7878e4db8d0961673de,wordnet_company_108058098,0.6704469646430954,3109,2,56222,3,0.011695,37693.86924616411
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,19,16bd20506b132fdd7a6f4ea4eecc167c,wordnet_company_108058098,0.6701134089392928,3109,2,54801,3,0.012991,36722.88492328219
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,20,46e1d10c40cc0cfcd2ce0803c1b55173,wordnet_company_108058098,0.6701134089392928,3109,2,54801,3,0.012412,36722.88492328219
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,21,e11781c6444bb0ea545efae3dcbb06c3,wordnet_company_108058098,0.6661107404936625,3109,2,28244,3,0.006758,18813.631754503003
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,22,52f240a9b43f717c71fe4473984f257c,wordnet_company_108058098,0.6657771847898599,3109,2,54051,3,0.014194,35985.92261507672
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,23,58a375bdfb2836e19865fa90fca2494f,wordnet_company_108058098,0.6644429619746498,3109,2,54018,3,0.009566,35891.87991994663
exact_matching,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,30,24,ac4051d6046384e9a6c49ca2883d64b1,wordnet_company_108058098,0.6644429619746498,3109,2,53996,3,0.015497,35877.26217478319
