retrieval_method,data_lake_version,table_name,query_column,aggregation,top_k,rank,cnd_table,cnd_column,containment,src_nrows,src_ncols,cnd_nrows,cnd_ncols,join_time
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,29,f51a42d3c57be2e8ed8a211c545cdbcf,playsFor_0,0.013675783855903937,3109,2,251015,3,0.00001
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,30,69f9d6061efa46d2cf561c36b6141940,graduatedFrom_0,0.01067378252168112,3109,2,214,3,8e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,31,a4b2a39690e4784e2633cb449141ae28,isLocatedIn_1,0.001667778519012675,3109,2,435714,3,8e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,32,a7e83c382ee1908bc4ab2f75139515d4,isLocatedIn_0,0.00266844563042028,3109,2,34896,3,8e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,33,dfd206b5bf3699b977e0312fd1cc81c5,wordnet_airline_102690081,0.019012675116744496,3109,2,2768,3,7e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,34,2a672cacaddabf8937b8320134297373,graduatedFrom_1,0.003669112741827885,3109,2,657,3,9e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,35,11398e5f8c5603dfa5e39f56c6254873,worksAt_0,0.014009339559706471,3109,2,298,3,6e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,36,488b5dbf86777220a3c57f0ae7e16d66,graduatedFrom_0,0.00533689126084056,3109,2,202,3,7e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,37,b5df62bc7fbd549da04758a4253d4cba,wordnet_company_108058098,0.17578385590393597,3109,2,8917,3,9e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,38,2a13b78a502a9a9b9d09ef4c04f6792e,graduatedFrom_0,0.00600400266844563,3109,2,188,3,8e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,39,59c1ab5c17ea467a103f7532375334f5,graduatedFrom_1,0.003669112741827885,3109,2,134,3,0.00001
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,40,a95ac3629bd7f0fcf66f3ae0a8f365d5,graduatedFrom_0,0.01000667111407605,3109,2,361,3,0.00001
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,41,ec909226da628fc71dda78cc19a22663,graduatedFrom_1,0.00600400266844563,3109,2,165,3,0.00001
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,42,c5336bb4bf11c781b5d95cf2b86fbf18,created_0,0.1447631754503002,3109,2,119392,3,9e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,43,6d4a6e2b8d93c9c1423182d82d7c0790,wordnet_company_108058098,0.06837891927951968,3109,2,3191,3,5e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,44,79692a45043967fa3c252b0773af8758,wordnet_person_100007846,0.0010006671114076052,3109,2,78622,3,8e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,45,d55f9d3b2baff29123d33a890d771872,graduatedFrom_0,0.01067378252168112,3109,2,268,3,8e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,46,b722616372a97b0c4893d14aeb49848f,isLocatedIn_0,0.001667778519012675,3109,2,44703,3,8e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,47,8219140bf52818c2b5a100c0c759cd37,wordnet_university_108286569,0.07204803202134756,3109,2,14179,3,6e-6
