retrieval_method,data_lake_version,table_name,query_column,aggregation,top_k,rank,cnd_table,cnd_column,containment,src_nrows,src_ncols,cnd_nrows,cnd_ncols,join_time
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,0,04e63026b26a86910ef7c58650f0c35f,graduatedFrom,0.00867244829886591,3109,2,748,18,9e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,1,123c04d2d6ce9c58817f14c75132f35f,graduatedFrom,0.007004669779853236,3109,2,849,24,8e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,2,ec3007d0eadc6c53339f1ca993ade8e9,wasBornIn,0.0020013342228152103,3109,2,15656,34,8e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,3,a89f779de463641774d819ea60a0e769,graduatedFrom,0.01067378252168112,3109,2,4117,26,6e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,4,718653571c15b7536e6a285c2093d359,owns,0.00066711140760507,3109,2,436,12,8e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,5,a918623576c797cf882dab0cf726068c,graduatedFrom,0.01467645096731154,3109,2,9247,28,9e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,6,e0471a415c73244b33044e2952be2bda,worksAt,0.1094062708472315,3109,2,2585036,44,0.00001
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,7,fc158c8e4e5486d177082ff6aa45b30a,graduatedFrom,0.013675783855903937,3109,2,6472,28,0.00001
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,8,fa04a4671553e837ce22a1d7bcab3f3d,graduatedFrom,0.009673115410273516,3109,2,748,18,9e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,9,77c5ed3a3b5223fa2fae7d374f150930,graduatedFrom,0.0020013342228152103,3109,2,519,24,8e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,10,50e66e20ce1f92b5714bf49752138161,graduatedFrom,0.011007338225483656,3109,2,896,17,8e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,11,df341718e3d87301dba1c843d36ea3c0,graduatedFrom,0.009673115410273516,3109,2,627,19,8e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,12,aa55f938949a5f255311c4ae394361c5,isLocatedIn,0.00066711140760507,3109,2,4060,12,0.00001
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,13,eca5bc0ac32336b076545d2abee2477b,wasBornIn,0.003002001334222815,3109,2,169207,36,9e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,14,e79dc2e04d6fb30e4ae250b8dfead67e,graduatedFrom,0.020346897931954638,3109,2,4841,30,0.00001
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,15,f938a4dd77e3451b69338d15ce9c9553,isLocatedIn,0.001667778519012675,3109,2,23153,8,8e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,16,3ee035e7631be83c8994b962d01b74d7,happenedIn,0.00266844563042028,3109,2,39341,8,8e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,17,ffce646efc9cdfd1be7fb357d441295c,graduatedFrom,0.01067378252168112,3109,2,748,20,8e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,18,322e696a41983f1f82eebf918abf1c8d,graduatedFrom,0.01000667111407605,3109,2,625,17,9e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,19,4a8314663c0b74a62714cae37f63a61a,wasBornIn,0.0010006671114076052,3109,2,3582,27,7e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,20,c50a7ba665a18f6e74151048569f37bf,wordnet_law_firm_108064039,0.004669779853235491,3109,2,287,5,6e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,21,210757ee8154dd360c500d4fbdb32204,graduatedFrom,0.025016677785190126,3109,2,22365,32,7e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,22,535dfc8baad37e314aedfab379fb0873,graduatedFrom,0.014009339559706471,3109,2,1269,28,7e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,23,4073aa1cebeddfdc9bfce27a1816c531,wordnet_airline_102690081,0.0200133422281521,3109,2,5975,14,6e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,24,235c3a288915b373d72b249f8d806a65,isLocatedIn,0.001667778519012675,3109,2,735557,34,9e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,25,5187f4a2a5ca175946c29d6e1158a7a0,graduatedFrom,0.001667778519012675,3109,2,256,16,9e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,26,867670dc626de07a6b9b98219eb7fa22,worksAt,0.10807204803202135,3109,2,120113,33,7e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,27,0633852464f882f12750990b8c963c9e,happenedIn,0.0023348899266177454,3109,2,26637,7,8e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,28,09ab3bb66dc5365f8ba1aaa3e5ee7597,graduatedFrom,0.00266844563042028,3109,2,1085,25,7e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,29,f5dfe56b340296aade590da0b4fcd65c,wordnet_couturier_109972157,0.00066711140760507,3109,2,845,24,0.00001
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,30,75f640164ba73a7e5ce9e40030fca8ed,graduatedFrom,0.00533689126084056,3109,2,594,24,0.00001
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,31,73a95627aaf5ace590c86a1b121650c3,wordnet_state_108168978,0.00133422281521014,3109,2,592,11,0.00001
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,32,5b0ee003de95df264129a3f84891ec52,graduatedFrom,0.0020013342228152103,3109,2,519,24,9e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,33,5e440aa545da816ca82941fb5d144828,playsFor,0.00066711140760507,3109,2,120113,32,9e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,34,354e9662898bc02ac669573b282c77cd,graduatedFrom,0.009673115410273516,3109,2,2881,27,9e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,35,8bcdf4ed83fadebd1478ddf060d9e998,wordnet_publisher_108062623,0.00066711140760507,3109,2,716,4,9e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,36,27d0be1d67a89078e56b2d31217cc0c0,graduatedFrom,0.021014009339559707,3109,2,4823,28,9e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,37,872e5c2e14abf04f88c3269d7ae3f900,owns,0.00066711140760507,3109,2,436,10,7e-6
minhash,wordnet_vldb_10,company_employees-yadl-depleted,col_to_embed,first,200,38,b42c295a36ca0ebffc2ea60d864d5b3a,isLocatedIn,0.0023348899266177454,3109,2,46715,10,8e-6
